,name,price,description,review
0,Coffee Body Scrub - 100 g,Rs. 449,Removes Tan & Dead Skin | Smoothens Skin | Exfoliates,4.8
1,Coffee Face Wash - 100 ml,Rs. 349,"Deeply Cleanses | Removes Tan, Oil & Dirt | Hydrates",4.8
2,Blueberry Blast Body Wash - 300 ml,Rs. 399,Deep Cleanses | Soft & Smooth Skin | Fruity Blueberry Aroma,4.8
3,Espresso Coffee Body Wash + Scrub with Natural AHA - 300ml,Rs. 399,Energizes | Smoothens Skin | Removes Tan,4.8
4,Coffee Hydrogel Under Eye Patches with Caffeine & HA - 15 Pairs,Rs. 499,Reduces Dark Circles | De-Puffs | Boosts Hydration,4.6
5,Daily Glow Green Tea Sunscreen SPF 50 PA++++ with Niacinamide - 50 ml,Rs. 399,Makes Skin Glow | 12 Hrs UVA & UVB Protection* | Non-sticky & Zero White Cast,4.9
6,Green Tea & 15% Vitamin C Face Serum - 30 ml,Rs. 699,Enhances Glow | Reduces Dark Spots & Pigmentation | Boosts Sun Protection,4.8
7,Choco Body Butter - 250g,Rs. 645,Intense Moisturization | Reduces Stretch Marks | Heals Dry Skin,4.7
8,5% AHA Underarm Roll On with Coffee - 50ml,Rs. 349,48 Hr Odour Control | Prevents Underarm Darkness | Energizing Coffee Fragrance,4.9
9,Moisturizing & Creamy Coffee Body Scrub with Berries - 200g,Rs. 449,Removes Dry & Dead Skin | Mildly Exfoliates & Removes Tan | Moisturizes,4.7
10,Green Tea Night Gel with Vitamin C - 50ml,Rs. 575,Hydration | Moisturization | Dark Spots & Fine Lines Reduction,4.7
11,Coffee Under Eye Cream - 15 ml,Rs. 349,Relieves Dark Circles | Hydrates | Repairs Sun Damage,4.5
12,Detan & Oil Control Coffee Sunscreen SPF 50 PA++++ 50 ml,Rs. 399,12 Hrs UVA & UVB Protection | Non-sticky | Zero White Cast,4.7
13,Green Tea Face Wash with Vitamin C & Hyaluronic Acid - 100 ml,Rs. 325,Cleanses & Removes Dirt | Controls Oil | Detoxifies & Soothes,4.7
14,2% Salicylic Acid Serum Clear Skin Acne Pads with Matcha Tea - 40 N (x1),Rs. 399,Controls Acne & Oil | Unclog Pores | Soothes Acne,5
15,Coffee Face Scrub with Walnut - 100 g,Rs. 349,Protects & Repairs UV Damage | Lightweight & Non-Greasy | Prevents Tan & Controls Oil,4.6
16,Green Tea Face Serum with Hyaluronic Acid - 40ml,Rs. 625,Hydration | Sun Damage Protection | Antioxidant-rich,4.7
17,Coffee Body Polishing Oil - 100 ml,Rs. 445,Moisturizes & Nourishes | Reduces Cellulite & Stretch Marks,4.7
18,Choco Body Lotion - Pack of 2,"Rs. 478
Rs. 598",Deeply Moisturizes | Softens & Smoothes Skin | Non-Greasy,4.7
19,Green Tea & 1% Caffeine Hydrogel Under Eye Patches - 30 pairs,Rs. 799,Refreshes & Hydrates | Reduces Fine Lines & Wrinkles | De-Puffs,4.7
20,Coffee Sugar Body Scrub with Pomegranate - 250g,Rs. 499,Removes Dead skin | Exfoliates & Smoothes | Fresh Pomegranate Coffee Aroma,4.7
21,Coffee Face Serum for 72 Hrs Hydration with Hyaluronic Acid - 40ml,Rs. 645,Hydration | Sun Damage Protection | Antioxidant-rich,4.7
22,Coffee Hydrogel Under Eye Patches with Caffeine & HA - 30 Pairs,Rs. 799,Instantly Hydrates | De-puffs | Reduces Dark Circles | Cools & Refreshes,4.9
23,1.5% Vitamin C 2in1 Toner-Serum with Green Tea - 150 ml,Rs. 549,Glowing Skin | Dark Spots & Pigmentation Reduction | Pore Tightening,4.7
24,Coffee Under Eye Cream - 30 ml,Rs. 575,Relieves Dark Circles | Hydrates | Repairs Sun Damage,4.6
25,Coffee Powder Sunscreen SPF 50 PA+++ | UV Protection | Mattifying & Water Resistant (4g),"Rs. 349
Rs. 649",Repairs UV Damage | Oil Free & Ultra Soft Skin | Natural Sunscreen Agents,4.7
26,Assorted Coffee Bathing Soap Trio,"Rs. 238
Rs. 297",Cleanses | Moisturizes | Softens & Smooths Skin,4.7
27,Green Tea Under Eye Cream with 3% Caffeine - 15 ml,Rs. 375,Reduces Fine Lines & Wrinkles | Reduces Dark Circles | Refreshes,4.6
28,Coffee Body Wash with Berries - Pack of 2,"Rs. 446
Rs. 558",De-Tans | Cleanses & Energizes | Makes Skin Glow,5
29,Anti-Pollution Kit,"Rs. 558
Rs. 698",Deeply Cleanses | Removes Blackheads | Exfoliates,4.7
30,Deep Pore Cleansing Regime,"Rs. 1,018
Rs. 1,273",Cleanses Pores | Removes Tan | Removes Excess Oil,4.6
31,Body Polishing Kit,"Rs. 875
Rs. 1,094",Exfoliates | Removes Tan | Moisturizes,4.8
32,Green Tea & 1% BHA-Salicylic Acid Body Wash | Controls Body & Back Acne - 200 ml,Rs. 299,Cleanses | Reduces Body Acne | Gently exfoliates,4.7
33,Coffee Body Exfoliation Kit,"Rs. 918
Rs. 1,147",Exfoliates | Deeply Cleanses | Polishes & Removes Tan,4.9
34,Coffee Body Mask with Niacinamide - 250g,"Rs. 199
Rs. 449",Removes Tan | Reduces Dark Skin Patches & Pigmentation | Nourishes & Hydrates,4.7
35,Body Toning & Polishing Kit,"Rs. 954
Rs. 1,193",Polishes | Exfoliates & De-Tans | Reduces Cellulite & Stretch Marks,4.8
36,Coffee Body Wash with Almonds -200ml,Rs. 279,De-Tans | Cleanses & Energizes | Nourishes,5
37,5% Niacinamide 2in1 Toner-Serum with Coffee - 150 ml,Rs. 449,Tightens Pores | Hydrates | Cleanses Pores,4.8
38,Coffee Body Shimmer with Hyaluronic Acid - 105 ml,Rs. 449,Illuminizing Soft Shimmer | Lightweight & Non Greasy | Delicate Coffee Notes,4.7
39,Coffee Body Wash with Cocoa for Energizing & De-Tan -200ml,Rs. 279,De-Tans | Cleanses & Energizes | Softens & Moisturizes,4.8
40,Coffee & Berries Body Exfoliation kit,"Rs. 462
Rs. 578",De-Tans | Cleanses & Energizes | Makes Skin Glow,4.7
